ID,Gender,Use_Facebook,Use_Twitter
3007,Male,Yes,No
321,Female,No,No
324,Male,Yes,No
331,Male,Yes,Yes
3015,Female,Yes,No
876,Male,No,No
2747,Male,Yes,No
2745,Male,Yes,No
3218,Male,Yes,No
2119,Male,No,No
2124,Male,No,No
2123,Male,No,No
2116,Male,No,No
45,Male,Yes,No
53,Male,No,No
2083,Male,No,No
2079,Female,No,No
2108,Male,Yes,No
1513,Female,No,No
1514,Female,Yes,No
1512,Male,Yes,Yes
2078,Male,No,No
1517,Female,Yes,No
1518,Female,Yes,No
2074,Female,Yes,Yes
3447,Female,No,No
1516,Male,No,Yes
962,Female,Yes,No
963,Male,No,No
